cgpa,python,java,cpp,sql,machine_learning,deep_learning,data_visualization,web_development,cloud,projects_count,internship,certifications_count,career_role
8.13,1,0,0,0,1,1,0,1,0,4,1,3,AI Engineer
6.85,0,0,0,0,1,0,1,0,0,3,0,3,Business Analyst
9.17,1,0,0,1,1,0,1,0,0,2,1,3,Data Scientist
8.34,0,1,0,1,0,0,1,0,0,5,1,4,Data Analyst
8.16,0,1,0,0,0,0,0,1,0,7,0,3,Frontend Developer
8.95,1,0,0,1,0,0,0,1,1,5,1,0,Cloud Engineer
8.18,1,0,1,1,1,0,0,1,0,2,1,2,Backend Developer
8.09,0,0,0,1,0,0,1,0,1,3,1,1,Data Analyst
8.98,1,0,1,1,0,0,1,0,1,8,0,4,Data Scientist
6.68,1,1,1,1,0,0,0,0,1,3,1,0,Cloud Engineer
7.46,0,0,0,1,0,0,0,1,0,2,1,0,Frontend Developer
8.98,1,1,1,1,0,0,0,1,0,3,0,1,Backend Developer
7.07,0,1,0,0,0,0,0,1,0,1,0,0,Frontend Developer
7.56,1,0,0,1,0,0,0,1,1,3,1,2,Backend Developer
7.16,0,1,0,0,0,0,0,1,1,5,1,2,Web Developer
6.08,1,0,0,1,0,0,1,0,0,1,0,2,Data Analyst
8.73,1,1,0,0,1,1,1,0,1,3,0,5,AI Engineer
8.36,1,1,1,1,1,0,1,1,1,7,1,3,Cloud Engineer
7.11,0,0,1,1,0,0,1,1,1,2,0,0,Web Developer
8.97,1,1,1,1,1,1,0,0,0,6,0,2,Machine Learning Engineer
8.9,1,1,0,1,0,0,0,1,1,1,1,3,Backend Developer
8.17,1,1,1,0,1,0,0,1,1,3,1,6,Cloud Engineer
7.91,1,1,0,1,0,0,1,0,1,6,1,2,Cloud Engineer
7.29,0,0,0,1,0,0,0,1,0,6,0,2,Frontend Developer
7.5,1,0,0,1,0,0,1,1,0,4,0,1,Frontend Developer
8.88,1,0,0,1,1,1,1,1,0,3,1,3,Machine Learning Engineer
9.13,1,0,1,1,0,0,0,0,1,6,1,4,Cloud Engineer
9.38,1,0,0,1,1,0,1,1,0,4,1,2,Data Analyst
6.95,1,0,0,1,0,0,1,0,1,2,1,4,Business Analyst
6.53,0,0,0,1,0,0,0,0,0,4,1,1,Data Analyst
7.42,1,0,0,1,1,1,1,0,1,4,0,5,Data Scientist
7.87,1,0,0,1,0,0,1,0,1,3,1,4,Data Analyst
7.23,1,0,0,1,1,1,1,0,1,4,1,1,Data Scientist
7.76,1,0,0,1,0,0,1,0,0,2,1,2,Business Analyst
6.98,1,0,0,1,0,0,1,0,1,3,0,3,Data Analyst
6.09,0,0,0,1,0,0,1,0,1,7,1,0,Business Analyst
7.58,1,0,0,1,1,1,1,1,1,4,1,1,Data Scientist
8.79,1,1,0,1,1,0,0,1,0,1,1,1,Software Developer
7.74,1,1,1,1,1,1,1,0,1,5,0,5,Machine Learning Engineer
8.64,1,1,1,0,0,0,0,0,1,4,0,5,Cloud Engineer
8.91,0,0,0,1,0,0,0,0,0,1,1,2,Business Analyst
7.5,1,1,1,0,1,0,0,1,0,5,0,1,Software Developer
7.35,1,1,0,0,0,0,0,1,0,2,1,1,Web Developer
7.72,1,1,0,0,0,0,0,0,1,5,1,2,Cloud Engineer
8.66,1,0,0,1,1,0,1,0,1,4,0,2,Data Scientist
9.0,1,0,1,0,1,1,0,0,1,4,0,6,Machine Learning Engineer
7.38,1,0,0,1,0,0,0,0,1,3,0,1,Cloud Engineer
8.64,0,0,1,1,0,0,0,1,0,5,0,5,Web Developer
6.96,0,0,0,1,1,0,1,0,1,2,0,2,Data Scientist
6.81,1,0,0,0,0,0,0,1,1,3,1,1,Frontend Developer
7.55,0,0,0,0,1,0,0,1,1,2,0,2,Web Developer
6.86,0,0,0,1,0,0,1,1,0,3,1,1,Business Analyst
9.7,1,0,0,1,1,1,1,0,0,5,1,4,Data Scientist
7.45,1,0,1,1,0,0,1,0,0,5,0,6,Business Analyst
7.33,0,1,0,1,0,0,1,1,1,4,1,3,Frontend Developer
7.75,0,1,0,1,0,0,0,1,1,4,1,6,Backend Developer
10.0,1,1,0,1,1,1,1,1,1,5,1,4,AI Engineer
8.03,1,1,0,0,0,0,0,1,0,3,0,6,Frontend Developer
9.61,1,0,0,1,1,0,1,1,1,1,1,4,Data Scientist
7.41,1,0,0,0,0,0,0,1,1,0,0,5,Frontend Developer
8.55,1,0,0,1,0,0,1,0,0,3,1,1,Data Analyst
7.27,1,1,1,1,0,0,0,1,1,5,0,4,Backend Developer
8.78,1,1,0,1,1,0,1,0,1,2,0,5,Machine Learning Engineer
7.66,0,0,0,0,1,0,1,0,0,3,0,5,Business Analyst
7.05,1,1,0,1,0,0,1,1,1,4,1,2,Web Developer
7.96,1,1,1,1,0,1,0,1,1,4,1,0,Backend Developer
7.96,1,0,0,1,1,0,1,0,0,2,1,3,Data Analyst
7.91,1,0,0,1,0,0,1,0,0,6,1,2,Machine Learning Engineer
7.56,1,0,0,1,0,0,0,1,1,2,1,4,Web Developer
8.07,0,0,0,1,1,0,0,1,0,2,1,0,Frontend Developer
8.43,1,0,0,1,1,0,0,0,1,4,1,5,Machine Learning Engineer
8.55,1,0,0,1,0,0,1,1,1,4,1,1,Backend Developer
7.57,1,1,1,1,1,0,0,1,0,2,0,0,Software Developer
8.28,0,1,1,0,0,0,0,0,1,4,1,2,Software Developer
6.93,0,0,0,1,1,0,1,0,0,3,0,3,Business Analyst
7.8,1,0,0,1,1,1,1,0,0,4,1,2,Business Analyst
6.58,1,1,0,1,1,0,1,1,0,3,0,0,Data Analyst
7.96,0,0,0,1,0,0,1,1,0,3,1,0,Business Analyst
8.14,1,0,1,1,1,1,1,0,0,7,1,2,Machine Learning Engineer
7.32,0,0,0,1,0,0,0,0,0,1,0,4,Business Analyst
8.24,0,0,0,0,1,0,1,1,1,3,1,1,Business Analyst
8.24,1,0,1,1,0,1,0,1,1,6,0,3,Cloud Engineer
8.41,1,1,1,0,1,1,1,0,1,5,1,1,AI Engineer
9.26,0,1,1,1,1,0,0,1,0,4,1,6,Backend Developer
6.81,1,0,0,0,0,0,0,1,0,5,0,1,Frontend Developer
7.06,1,1,1,1,1,1,1,0,1,5,0,3,Machine Learning Engineer
8.01,0,0,0,0,0,0,1,1,1,1,1,1,Frontend Developer
8.1,0,0,0,1,0,0,0,0,1,2,1,3,Cloud Engineer
8.91,1,0,0,1,1,1,0,0,1,4,1,6,AI Engineer
6.4,0,0,0,1,0,0,0,1,0,2,0,2,Web Developer
9.11,1,0,0,0,1,1,1,0,1,4,1,4,Machine Learning Engineer
7.5,0,0,0,1,0,0,1,1,0,4,1,2,Frontend Developer
8.7,1,0,1,1,0,1,0,0,1,4,1,5,Cloud Engineer
8.05,1,1,0,1,1,1,0,0,0,2,1,2,Machine Learning Engineer
8.63,1,0,0,1,1,1,0,0,1,4,1,1,AI Engineer
10.0,1,0,0,1,1,1,1,0,0,6,1,4,AI Engineer
9.06,1,1,1,0,0,0,1,0,0,3,1,3,Software Developer
8.12,1,1,0,1,1,0,0,1,0,6,0,3,Backend Developer
8.01,1,1,0,1,0,0,0,1,1,5,1,4,Cloud Engineer
8.12,1,1,0,0,1,1,0,0,0,6,0,2,Data Scientist
7.27,1,1,0,1,1,0,0,1,1,8,1,1,Cloud Engineer
8.47,1,1,0,1,0,0,0,1,1,3,0,2,Backend Developer
6.66,0,0,0,1,1,1,1,0,0,4,1,5,Data Analyst
5.63,0,0,0,1,0,0,0,1,0,4,1,2,Web Developer
8.0,1,1,0,0,0,0,0,1,1,1,0,2,Cloud Engineer
8.11,0,1,1,1,0,0,0,1,0,1,1,2,Backend Developer
7.64,1,0,0,1,0,0,1,1,1,1,0,2,Data Analyst
7.74,1,0,0,1,1,0,1,0,0,4,0,2,Data Scientist
6.51,0,0,0,1,0,0,1,0,0,2,1,6,Business Analyst
8.74,0,0,0,1,0,0,1,0,0,3,0,2,Business Analyst
7.64,0,0,0,1,0,0,1,1,1,2,1,1,Frontend Developer
5.62,0,0,0,1,0,0,1,1,0,2,1,2,Frontend Developer
7.89,1,1,0,1,0,0,0,0,1,6,1,3,Cloud Engineer
8.76,1,1,1,1,1,1,1,0,0,2,0,3,Machine Learning Engineer
7.45,1,1,0,1,1,0,1,0,0,6,1,1,Data Scientist
7.0,0,0,0,0,0,0,0,1,0,2,0,5,Frontend Developer
8.57,1,1,0,1,1,1,1,0,0,4,1,3,Machine Learning Engineer
8.47,1,1,0,1,1,1,1,0,1,2,1,4,Machine Learning Engineer
7.07,1,1,1,0,0,1,0,1,1,2,0,3,Backend Developer
6.92,1,0,0,1,0,1,1,0,1,4,0,1,Data Analyst
7.25,1,1,0,0,0,0,0,0,1,6,0,4,Cloud Engineer
8.75,1,0,0,0,1,1,0,0,0,4,1,3,Machine Learning Engineer
8.03,1,0,1,1,1,0,1,0,1,4,1,2,Data Analyst
8.26,1,1,0,1,0,0,0,1,1,4,1,5,Backend Developer
7.46,1,0,0,1,1,1,0,0,1,3,0,4,Machine Learning Engineer
7.61,1,0,0,1,1,1,0,0,1,5,1,5,Machine Learning Engineer
9.4,1,1,1,1,1,1,0,1,1,3,1,1,AI Engineer
8.35,0,1,0,0,0,0,1,1,1,4,1,3,Cloud Engineer
7.95,1,1,0,1,0,0,0,0,1,2,1,4,Cloud Engineer
10.0,1,0,0,1,1,1,1,0,1,5,0,4,AI Engineer
7.87,0,0,1,1,1,1,0,0,1,7,1,3,AI Engineer
9.49,0,0,0,1,0,1,0,1,1,2,0,1,Cloud Engineer
8.41,1,1,0,0,1,1,1,0,1,4,1,2,AI Engineer
7.95,1,1,1,1,1,1,0,0,1,7,1,3,Machine Learning Engineer
8.62,1,1,1,1,1,0,0,0,1,3,1,3,Backend Developer
9.14,1,1,0,1,1,1,0,1,1,5,0,2,AI Engineer
7.44,0,1,1,1,0,0,0,0,0,1,1,2,Software Developer
7.66,1,0,0,1,1,1,1,0,1,3,1,6,Data Scientist
6.96,0,1,1,1,1,0,1,0,1,2,0,1,Software Developer
7.8,1,1,1,0,0,0,0,0,1,8,0,6,Cloud Engineer
7.52,0,0,0,0,0,0,1,1,1,4,1,2,Frontend Developer
7.95,0,1,0,1,0,0,0,1,0,0,0,3,Backend Developer
7.11,0,0,0,1,0,0,0,1,1,8,0,3,Frontend Developer
6.21,0,0,0,1,0,0,1,0,1,4,0,6,Business Analyst
9.27,1,1,1,1,0,1,0,1,0,2,0,1,Backend Developer
7.18,1,1,1,1,0,0,0,1,1,6,1,4,Backend Developer
9.11,1,0,0,1,1,0,1,0,0,7,1,3,Data Scientist
7.7,1,0,0,1,1,0,1,1,0,2,0,3,Data Analyst
8.22,1,1,0,0,0,0,0,1,0,4,0,2,Software Developer
8.8,1,1,1,1,1,1,1,0,1,4,1,5,Machine Learning Engineer
8.01,1,1,1,1,1,0,0,0,0,7,1,0,Backend Developer
6.37,1,0,0,1,0,0,1,0,1,6,0,5,Cloud Engineer
8.68,1,0,0,1,1,0,1,0,0,2,1,4,Business Analyst
7.36,0,0,0,1,0,0,1,1,0,5,1,2,Business Analyst
7.87,1,1,0,1,0,0,0,1,1,5,1,4,Web Developer
8.11,0,0,0,1,0,0,1,0,1,3,1,3,Business Analyst
8.44,1,0,0,1,1,1,1,0,0,4,1,4,AI Engineer
7.93,0,0,0,0,0,0,1,0,0,2,1,3,Business Analyst
8.02,0,1,1,0,1,0,1,1,1,7,0,5,Software Developer
8.3,1,1,1,1,1,0,0,0,0,0,1,2,Software Developer
10.0,1,1,1,1,0,0,0,0,0,3,0,5,Backend Developer
7.19,0,1,1,0,0,1,1,0,1,5,1,3,Software Developer
7.8,0,1,0,0,0,0,0,1,1,2,0,2,Frontend Developer
7.78,0,1,1,0,0,0,0,0,1,2,1,1,Software Developer
7.93,1,0,0,1,1,1,1,0,1,4,0,5,Data Scientist
8.24,1,0,0,1,1,0,1,1,1,5,1,3,Data Scientist
8.99,1,0,1,1,1,1,1,1,1,8,0,6,AI Engineer
6.7,1,0,1,0,0,0,1,1,0,4,1,2,Web Developer
7.98,1,1,1,1,1,0,0,0,1,5,1,2,Backend Developer
6.45,0,0,1,0,0,0,0,1,0,2,0,1,Frontend Developer
8.13,1,0,0,1,1,0,1,1,1,2,0,2,Data Analyst
8.45,1,1,0,1,1,1,0,0,1,2,1,1,Data Scientist
7.97,1,1,1,1,1,1,1,0,0,2,0,3,Machine Learning Engineer
8.67,1,1,0,1,0,0,1,0,1,6,0,3,Business Analyst
6.81,0,0,0,1,1,0,1,0,1,2,1,0,Data Analyst
6.66,0,0,0,1,0,0,0,1,1,4,0,1,Web Developer
9.0,1,0,0,1,1,0,1,0,1,5,1,2,Machine Learning Engineer
9.45,1,0,1,1,1,1,1,0,1,6,1,2,Machine Learning Engineer
7.53,1,0,0,1,0,0,0,1,1,4,1,4,Web Developer
8.41,0,1,1,1,0,1,1,0,1,0,1,6,Cloud Engineer
6.16,1,0,0,1,0,0,1,1,1,6,1,3,Web Developer
9.21,1,0,0,1,1,0,1,1,0,3,1,2,Data Scientist
7.33,1,1,0,0,1,1,0,1,0,6,1,3,Machine Learning Engineer
9.52,1,0,1,1,1,1,0,0,1,4,1,4,AI Engineer
7.45,1,1,0,1,0,0,0,0,0,1,0,3,Backend Developer
7.26,0,1,1,1,1,0,0,0,1,5,0,2,Software Developer
9.3,0,0,0,0,0,0,0,0,1,3,1,4,Cloud Engineer
9.2,1,0,0,1,1,0,1,1,1,4,1,3,Data Scientist
7.47,1,1,0,1,1,0,0,1,0,3,0,5,Backend Developer
7.0,0,0,0,0,0,0,1,1,0,0,1,5,Frontend Developer
8.69,1,0,0,1,1,0,0,0,1,7,0,3,Cloud Engineer
6.85,1,1,1,1,0,1,0,0,1,4,0,5,Cloud Engineer
6.43,0,0,1,1,0,0,0,1,0,3,0,1,Web Developer
8.73,1,1,0,1,1,1,1,1,1,6,1,5,AI Engineer
7.97,1,1,1,0,0,0,0,1,1,3,1,5,Backend Developer
8.68,1,0,1,1,1,1,1,0,1,5,1,3,Machine Learning Engineer
9.23,0,1,1,1,1,1,1,0,0,3,1,6,AI Engineer
7.63,1,0,1,1,1,1,0,0,1,7,1,5,AI Engineer
8.39,1,0,1,0,0,0,0,1,1,4,1,4,Cloud Engineer
6.89,1,1,0,1,0,0,0,1,0,3,1,0,Web Developer
8.63,1,1,0,1,0,0,0,1,0,7,0,1,Backend Developer
6.98,1,1,1,1,0,1,0,1,1,1,1,4,Backend Developer
7.5,0,0,0,1,0,0,1,0,0,3,1,4,Business Analyst
8.42,1,0,1,1,1,1,0,0,0,2,1,1,Data Scientist
8.4,1,1,1,1,0,0,0,1,1,5,0,4,Backend Developer
8.88,1,1,1,1,1,1,0,1,1,4,1,1,Machine Learning Engineer
6.57,1,0,0,1,0,0,1,0,0,1,0,1,Business Analyst
6.96,1,0,1,1,0,0,0,1,1,4,0,2,Cloud Engineer
5.37,1,0,0,0,0,0,0,1,0,1,1,2,Frontend Developer
7.76,0,0,0,1,1,0,1,1,0,3,0,2,Data Analyst
7.79,1,1,0,1,1,0,1,0,0,5,0,0,Data Analyst
7.18,1,0,0,1,1,1,0,0,0,7,1,1,Machine Learning Engineer
6.55,1,0,0,1,0,0,1,1,0,4,1,1,Web Developer
7.52,0,1,0,1,1,1,1,0,0,5,1,4,Data Analyst
6.88,0,1,1,1,0,0,0,1,1,4,0,2,Web Developer
6.92,1,1,1,1,0,0,0,0,1,3,1,2,Cloud Engineer
7.11,0,0,0,0,1,0,1,1,0,7,0,6,Frontend Developer
8.66,1,1,0,0,1,1,1,1,1,4,0,4,Data Scientist
6.9,0,0,0,1,1,0,1,0,0,1,0,2,Business Analyst
9.4,1,1,0,1,1,1,1,0,1,5,1,3,Data Scientist
8.9,1,0,0,1,1,1,1,1,0,2,1,2,Machine Learning Engineer
8.11,1,0,0,1,1,0,1,0,0,3,0,1,Data Analyst
6.22,0,1,1,1,0,0,1,1,0,2,1,0,Web Developer
7.97,1,1,0,1,0,0,1,1,1,3,1,6,Cloud Engineer
7.45,1,1,0,0,1,1,0,0,0,5,1,3,Machine Learning Engineer
8.25,1,0,1,1,1,1,0,0,1,0,1,2,AI Engineer
8.14,1,0,1,1,1,0,0,0,1,2,1,2,Backend Developer
8.98,1,1,0,1,1,1,0,0,0,5,1,3,Machine Learning Engineer
8.65,1,1,1,1,0,0,0,0,1,5,1,4,Software Developer
8.4,1,1,0,0,1,1,0,0,1,4,0,2,AI Engineer
7.2,1,0,0,0,0,0,1,0,0,1,1,3,Business Analyst
7.5,0,1,0,1,0,0,1,1,1,2,1,2,Backend Developer
6.87,0,0,0,0,0,0,0,1,0,4,0,0,Frontend Developer
8.46,1,0,0,1,1,1,1,0,1,5,1,3,Machine Learning Engineer
7.45,0,0,0,1,0,1,1,0,0,3,1,1,Business Analyst
6.99,1,1,0,1,1,0,0,0,0,5,0,2,Software Developer
7.72,1,0,0,1,1,1,0,0,1,6,1,6,AI Engineer
6.93,1,1,1,1,1,0,1,0,1,1,1,1,Machine Learning Engineer
7.73,0,0,0,0,0,1,1,1,1,4,0,0,Frontend Developer
8.05,1,1,0,1,1,0,0,1,1,4,0,6,Cloud Engineer
8.8,1,1,1,1,0,0,0,1,1,7,0,2,Backend Developer
7.71,1,1,1,0,1,1,0,0,1,8,1,2,AI Engineer
7.84,1,1,0,1,1,1,1,0,1,4,1,3,Data Scientist
6.92,1,0,1,1,0,0,0,1,1,8,1,2,Backend Developer
8.79,1,0,0,1,0,0,0,1,0,7,1,6,Backend Developer
7.32,1,1,0,0,1,0,0,1,0,5,0,0,Web Developer
7.96,1,1,1,1,0,0,0,0,1,4,1,1,Backend Developer
7.5,1,1,0,1,1,1,0,0,1,0,1,3,Data Scientist
7.44,1,1,1,1,0,1,0,1,1,8,1,4,Backend Developer
8.5,1,1,0,1,0,0,0,1,1,4,1,4,Backend Developer
8.63,1,0,1,1,0,1,0,1,1,5,0,1,Software Developer
9.22,1,0,0,1,1,1,1,0,0,5,1,4,AI Engineer
6.78,1,0,0,1,0,0,0,1,0,6,0,0,Web Developer
7.34,1,0,0,1,0,0,1,0,1,2,1,3,Data Analyst
6.51,1,0,0,1,1,0,1,0,1,1,0,1,Data Analyst
8.43,1,1,1,1,0,0,0,1,1,1,1,5,Software Developer
8.65,1,0,0,0,1,1,1,0,0,8,0,4,Machine Learning Engineer
8.6,1,0,0,1,1,1,1,0,1,4,1,6,AI Engineer
7.6,0,0,0,1,1,0,0,0,1,1,0,4,Cloud Engineer
7.22,1,1,0,0,0,0,0,1,1,3,1,1,Backend Developer
7.94,1,1,0,0,1,1,1,0,1,3,0,4,Machine Learning Engineer
7.46,0,1,0,1,0,0,1,0,0,5,1,3,Data Analyst
7.78,0,0,0,0,0,0,0,1,0,1,1,4,Frontend Developer
8.09,1,1,0,1,0,1,1,0,0,4,0,2,Data Scientist
8.11,1,1,1,1,0,0,0,1,0,5,0,0,Software Developer
7.3,0,0,0,0,0,0,1,1,1,4,0,2,Frontend Developer
7.73,0,1,1,0,0,0,0,0,0,7,1,4,Software Developer
7.37,1,0,0,1,0,0,1,0,0,3,1,2,Data Analyst
6.88,0,0,0,0,0,0,1,1,0,4,1,0,Frontend Developer
7.03,0,1,1,1,0,0,0,1,0,5,1,3,Backend Developer
8.34,1,1,0,1,0,0,0,1,0,4,1,1,Software Developer
7.26,1,0,0,1,0,0,1,1,0,1,0,3,Data Analyst
6.74,0,0,0,1,0,1,1,0,1,4,1,5,Business Analyst
8.0,1,0,1,1,1,1,1,1,0,3,0,3,Data Scientist
6.98,1,0,0,0,0,0,0,1,0,4,1,4,Frontend Developer
7.99,1,1,0,0,0,1,1,0,1,7,0,6,AI Engineer
6.83,0,0,0,0,0,0,1,1,1,5,0,1,Frontend Developer
8.79,1,0,1,1,1,0,0,1,1,5,1,1,Backend Developer
6.99,0,0,0,0,0,0,1,1,0,4,1,3,Frontend Developer
7.96,1,0,0,1,0,0,1,0,0,4,1,3,Data Analyst
9.22,1,0,1,1,1,1,1,0,1,3,1,5,AI Engineer
8.36,1,1,1,0,1,0,0,0,1,3,1,2,Software Developer
6.88,0,0,0,1,0,0,0,1,0,2,1,0,Web Developer
7.52,0,0,0,1,0,1,0,0,1,3,1,6,Cloud Engineer
8.73,1,1,0,1,0,0,1,0,1,2,0,3,Data Analyst
7.65,1,1,1,1,1,0,0,1,1,6,0,2,Software Developer
8.23,1,0,0,0,1,0,1,0,1,2,1,3,Data Scientist
7.11,1,1,1,1,1,1,0,1,1,4,0,1,Backend Developer
9.78,1,0,1,0,1,0,1,0,1,4,1,1,AI Engineer
7.64,1,1,1,0,0,0,0,0,1,3,1,0,Software Developer
8.56,1,0,0,1,1,1,0,1,1,3,1,1,AI Engineer
7.54,1,1,0,0,0,0,0,0,1,8,0,4,Cloud Engineer
7.63,1,1,0,1,1,1,1,0,0,5,1,4,Data Scientist
8.32,1,0,1,1,1,1,1,0,1,2,0,5,Data Scientist
7.98,1,1,0,1,1,1,1,0,1,8,0,4,Machine Learning Engineer
7.71,1,1,0,1,0,0,0,1,0,4,0,3,Software Developer
7.66,1,1,1,1,0,0,1,0,1,5,1,3,Cloud Engineer
7.12,1,1,0,1,0,0,0,1,0,4,0,4,Backend Developer
8.32,1,1,1,1,1,0,0,0,1,6,0,1,Cloud Engineer
7.73,1,0,0,1,0,1,0,0,1,6,1,2,Cloud Engineer
8.32,1,0,0,0,1,1,1,0,1,3,0,0,Data Analyst
7.47,1,0,0,0,0,0,0,1,1,2,0,4,Web Developer
10.0,1,0,0,1,1,1,1,0,0,2,0,4,Machine Learning Engineer
7.93,1,1,1,1,1,1,1,1,1,2,1,2,Machine Learning Engineer
8.2,1,0,0,1,1,0,1,0,1,3,0,3,Data Analyst
7.39,1,0,0,0,0,1,0,1,1,6,1,2,Backend Developer
8.01,1,1,0,0,1,0,0,1,0,1,0,2,Software Developer
8.02,1,1,1,0,1,1,1,0,0,1,1,2,Machine Learning Engineer
7.83,1,0,0,0,1,1,1,0,1,4,1,6,Machine Learning Engineer
7.63,1,0,0,1,1,0,1,0,0,4,0,4,Data Analyst
8.56,1,0,1,0,1,1,1,1,0,5,1,1,AI Engineer
7.29,1,0,0,1,1,0,1,0,1,3,0,6,Data Analyst
8.17,0,1,0,0,0,0,0,1,0,3,1,2,Frontend Developer
9.76,1,0,0,0,1,1,1,0,1,3,0,3,AI Engineer
7.86,1,1,1,1,0,1,0,1,1,5,0,1,Web Developer
7.33,1,0,1,0,1,1,0,0,1,5,1,1,AI Engineer
8.66,1,0,0,0,1,1,0,1,0,7,0,3,AI Engineer
7.68,1,1,0,1,0,1,1,0,0,2,1,2,Backend Developer
10.0,1,0,1,1,1,1,1,0,1,1,1,3,AI Engineer
6.69,1,0,1,0,0,0,1,1,1,6,0,5,Web Developer
7.84,1,1,1,1,1,1,1,0,0,4,1,3,AI Engineer
7.64,1,1,1,0,0,0,1,1,1,3,1,2,Web Developer
9.82,1,1,0,1,1,0,0,0,1,6,1,6,Cloud Engineer
7.28,1,1,0,0,1,1,1,0,0,3,1,5,Data Scientist
7.61,1,1,0,1,0,0,0,0,1,2,1,1,Software Developer
6.68,1,0,0,0,0,0,0,1,0,0,1,1,Web Developer
6.02,1,1,0,1,0,0,1,0,0,4,1,4,Data Analyst
7.22,1,0,0,1,1,1,1,1,1,8,1,2,Machine Learning Engineer
8.38,1,0,1,1,1,1,1,0,1,8,0,3,AI Engineer
8.7,1,1,0,1,1,0,1,1,0,5,0,5,Machine Learning Engineer
8.12,0,0,0,1,0,0,0,1,0,3,1,3,Frontend Developer
7.47,1,0,0,1,0,0,1,1,0,3,0,5,Web Developer
7.77,0,0,0,1,0,0,0,1,1,2,1,1,Web Developer
8.73,1,1,1,1,0,0,1,0,1,6,1,4,Cloud Engineer
8.55,1,0,1,0,1,1,0,0,1,4,1,5,Cloud Engineer
7.19,1,0,1,1,1,1,1,0,1,6,1,1,Machine Learning Engineer
8.5,1,1,1,0,0,0,1,0,1,2,0,1,Software Developer
7.77,1,0,1,1,1,0,1,1,1,6,1,4,Backend Developer
8.34,0,1,0,0,0,0,1,1,0,5,1,0,Frontend Developer
8.12,1,1,1,1,0,0,0,1,1,4,1,2,Backend Developer
7.29,1,0,1,1,1,0,0,1,1,4,0,2,Software Developer
5.6,1,0,0,1,1,0,1,0,0,3,0,6,Business Analyst
8.85,1,0,1,1,1,0,0,1,1,2,1,1,Machine Learning Engineer
6.92,0,0,0,0,0,0,0,1,0,2,0,1,Web Developer
7.96,1,1,0,1,0,0,1,0,0,0,0,1,Business Analyst
6.75,0,0,0,1,0,0,0,1,0,2,1,1,Frontend Developer
8.99,1,0,1,0,1,1,0,0,1,4,0,6,Machine Learning Engineer
7.9,0,1,1,0,0,0,0,1,0,5,1,3,Software Developer
8.32,1,0,0,1,1,0,0,0,0,5,0,2,Machine Learning Engineer
7.22,1,1,1,0,0,0,0,1,0,5,1,0,Software Developer
7.71,1,0,0,1,1,1,0,0,1,3,1,3,Data Scientist
6.94,0,0,0,1,0,0,1,1,0,1,1,4,Business Analyst
10.0,1,0,0,1,1,1,1,1,0,3,0,6,Machine Learning Engineer
7.42,1,0,1,1,1,1,1,0,1,5,1,4,Machine Learning Engineer
7.21,1,0,0,0,1,1,0,1,1,4,0,4,Machine Learning Engineer
8.65,1,0,0,1,0,1,1,0,0,6,1,1,Data Scientist
7.85,1,1,0,1,1,1,1,1,1,3,1,1,Business Analyst
8.25,1,0,0,1,1,0,1,0,1,3,1,4,Data Scientist
10.0,1,1,1,1,1,1,1,0,0,3,1,3,AI Engineer
7.67,0,0,0,1,0,1,1,1,1,0,1,4,Backend Developer
8.05,1,1,0,1,0,0,0,0,1,8,0,6,Cloud Engineer
7.18,1,0,0,1,0,0,0,1,1,5,1,6,Web Developer
7.29,0,0,0,0,0,0,0,1,0,2,0,1,Frontend Developer
8.58,0,0,1,1,0,1,0,0,1,4,1,1,Cloud Engineer
7.69,1,0,0,1,1,1,1,0,0,3,1,2,Data Scientist
9.01,1,1,1,0,0,0,0,0,1,1,1,2,Backend Developer
6.36,1,0,0,1,1,0,1,1,0,1,0,3,Data Analyst
7.85,1,1,1,1,0,1,0,1,0,5,1,2,Backend Developer
8.53,1,0,0,0,0,1,0,0,1,5,0,6,Cloud Engineer
9.11,1,0,1,1,1,1,0,0,1,4,1,4,AI Engineer
8.36,1,1,0,1,0,0,0,1,0,3,1,6,Web Developer
8.03,1,0,0,1,0,0,0,0,1,6,1,2,Data Analyst
7.41,1,1,0,1,0,0,0,0,1,5,0,6,Cloud Engineer
6.89,0,0,0,1,0,1,1,0,0,1,0,3,Business Analyst
9.13,1,0,1,1,0,0,0,0,1,6,0,2,Backend Developer
8.64,0,0,0,1,1,0,1,0,0,7,0,4,Machine Learning Engineer
7.24,1,0,0,1,0,0,1,0,0,3,0,3,Data Analyst
8.12,1,0,1,0,1,1,0,0,1,3,0,5,Machine Learning Engineer
6.91,0,0,0,1,0,0,0,1,0,3,1,4,Frontend Developer
6.02,1,1,1,1,1,1,1,0,1,5,1,4,AI Engineer
8.49,0,1,1,1,1,0,0,1,1,2,1,3,Backend Developer
7.51,1,1,1,0,0,0,0,0,1,5,1,3,Cloud Engineer
7.84,1,0,0,1,0,0,1,0,0,1,1,3,Data Analyst
9.35,1,0,1,1,1,1,1,0,1,2,1,3,Data Scientist
7.53,1,0,0,1,1,0,1,0,0,4,0,1,Data Analyst
7.74,1,1,0,0,0,0,0,1,0,5,1,1,Backend Developer
7.76,0,0,0,1,0,0,0,0,1,3,0,4,Cloud Engineer
7.22,1,1,1,1,0,0,0,1,1,4,1,0,Backend Developer
7.57,1,0,1,0,0,0,0,1,0,4,0,0,Software Developer
9.08,1,1,0,1,0,0,0,0,1,6,1,4,Cloud Engineer
