previous_marks,attendance,study_hours,assignment_completion,internal_marks,failed_subjects,cgpa,risk_level
53.51,52.72,2.51,58.69,12.21,5,4.15,High Risk
35.0,48.08,3.71,53.74,9.18,0,4.93,High Risk
66.53,70.45,2.48,68.26,21.23,1,6.76,Medium Risk
67.77,55.31,4.94,88.58,19.47,1,5.64,Medium Risk
93.85,84.6,10.03,97.07,23.36,0,8.05,Low Risk
59.22,77.99,3.73,68.54,20.02,0,6.36,Medium Risk
88.45,100.0,5.5,96.37,21.36,0,8.25,Low Risk
76.49,74.17,7.28,81.11,27.8,0,8.54,Low Risk
71.92,64.09,2.97,63.69,20.3,1,6.78,Medium Risk
74.59,100.0,7.0,100.0,25.88,0,9.69,Low Risk
62.86,66.08,3.14,62.63,22.48,1,6.39,Medium Risk
74.66,100.0,8.28,97.67,20.37,0,8.69,Low Risk
67.38,70.63,6.7,50.88,20.24,0,7.29,Medium Risk
73.01,66.6,3.03,62.37,21.46,1,7.52,Medium Risk
68.71,92.34,7.64,87.78,23.72,0,8.85,Low Risk
45.59,70.91,5.43,64.16,17.81,2,6.76,High Risk
76.26,90.98,7.43,91.97,22.52,0,8.97,Low Risk
73.85,70.83,2.23,68.86,18.38,1,7.03,Medium Risk
75.9,84.06,7.97,83.83,21.76,0,7.47,Low Risk
52.29,76.19,6.14,75.85,16.95,0,7.06,Medium Risk
54.13,54.39,1.37,45.38,13.22,1,5.28,High Risk
45.48,64.64,4.3,39.22,6.92,2,4.74,High Risk
89.07,94.56,7.63,70.48,25.78,0,9.13,Low Risk
36.4,51.49,1.7,42.88,16.15,4,5.53,High Risk
40.85,78.53,6.57,77.15,25.02,1,7.73,Medium Risk
83.98,91.33,6.62,82.17,28.5,0,9.16,Low Risk
91.37,98.72,6.69,93.3,24.16,0,8.96,Low Risk
86.67,98.01,7.05,91.19,29.07,0,8.36,Low Risk
89.95,78.61,7.19,92.28,30.0,1,8.3,Medium Risk
86.34,84.64,4.35,80.05,19.7,0,6.86,Low Risk
87.29,72.35,7.22,95.02,30.0,0,8.02,Low Risk
76.45,82.78,5.86,89.61,30.0,0,9.6,Low Risk
75.26,92.26,7.03,100.0,26.43,0,9.15,Low Risk
64.49,68.5,6.32,78.61,14.81,0,7.11,Medium Risk
67.03,87.17,6.59,100.0,25.93,0,9.29,Low Risk
65.23,62.3,4.85,67.69,14.99,1,8.06,Medium Risk
84.11,95.13,5.14,95.18,25.23,0,8.59,Low Risk
93.12,88.56,6.92,82.11,30.0,0,9.02,Low Risk
72.45,90.24,8.53,96.38,25.02,0,9.2,Low Risk
68.0,61.05,4.56,70.41,19.21,0,7.71,Medium Risk
43.05,60.91,2.63,34.7,15.22,1,5.16,High Risk
90.13,86.91,9.02,100.0,22.48,0,8.28,Low Risk
81.41,92.81,5.76,93.78,27.2,0,8.09,Low Risk
75.16,93.83,7.83,100.0,24.46,0,8.17,Low Risk
76.11,93.46,9.72,89.72,22.36,0,9.45,Low Risk
81.41,85.91,2.92,67.55,22.7,2,7.06,High Risk
70.41,52.1,2.74,33.86,14.97,1,5.16,High Risk
69.26,76.02,0.5,64.05,22.46,0,6.82,Medium Risk
82.94,100.0,6.04,100.0,25.64,0,8.9,Low Risk
100.0,99.38,7.26,94.66,21.45,0,9.64,Low Risk
68.36,82.63,6.16,75.46,13.47,0,6.92,Medium Risk
62.27,68.5,5.73,76.6,23.13,0,6.86,Medium Risk
83.96,76.19,6.51,89.71,23.1,0,7.89,Low Risk
89.72,95.8,8.58,95.95,26.06,0,7.79,Low Risk
67.4,84.65,3.34,78.76,20.87,0,6.54,Medium Risk
90.01,90.9,8.44,81.7,26.17,0,9.34,Low Risk
71.42,77.22,6.65,66.81,17.36,1,6.85,Medium Risk
84.78,92.68,9.44,85.53,28.24,0,8.39,Low Risk
35.0,51.43,2.6,39.21,16.33,3,4.6,High Risk
100.0,96.61,7.51,82.58,26.09,0,7.82,Low Risk
79.41,83.39,8.3,100.0,24.78,0,8.08,Low Risk
77.63,86.11,7.75,100.0,25.07,0,8.91,Low Risk
76.47,72.56,1.59,62.8,17.34,2,6.22,High Risk
86.8,100.0,5.99,91.14,20.67,0,8.61,Low Risk
57.81,64.26,2.68,60.92,6.95,2,5.29,High Risk
89.29,83.87,5.6,99.03,23.1,0,9.21,Low Risk
45.37,53.47,0.5,40.08,12.71,2,4.96,High Risk
86.31,76.62,6.66,79.21,24.45,0,8.65,Low Risk
68.95,81.5,3.99,67.9,20.64,0,7.38,Medium Risk
61.27,77.34,3.85,69.71,18.34,0,7.26,Medium Risk
49.76,52.62,2.06,43.06,15.81,1,5.23,High Risk
35.0,55.61,1.37,54.04,11.73,4,5.15,High Risk
69.86,75.92,2.59,73.8,15.45,0,7.85,Medium Risk
81.92,100.0,10.09,92.87,23.96,1,8.92,Medium Risk
41.9,54.55,4.46,51.1,13.22,1,5.2,High Risk
55.86,71.04,4.29,55.37,19.25,0,4.92,Medium Risk
83.73,91.87,6.07,84.16,23.05,0,8.39,Low Risk
77.66,86.99,7.04,74.96,26.64,0,8.09,Low Risk
81.08,80.25,7.27,79.44,27.77,0,9.28,Low Risk
53.64,79.83,4.54,76.63,20.86,1,7.71,Medium Risk
53.14,49.07,2.76,45.46,13.51,2,4.14,High Risk
58.88,59.47,0.5,35.33,14.94,2,5.15,High Risk
77.75,92.71,7.89,83.49,26.78,0,8.68,Low Risk
82.93,89.82,8.72,99.14,20.75,0,8.67,Low Risk
50.47,67.82,5.39,65.9,20.39,0,6.39,Medium Risk
75.51,73.14,2.78,79.55,17.7,0,6.21,Medium Risk
42.27,49.75,2.13,42.84,12.18,3,5.01,High Risk
98.97,74.84,8.08,84.19,27.6,0,7.55,Low Risk
53.16,64.97,3.06,53.01,14.26,3,5.03,High Risk
96.28,72.66,9.18,87.86,27.63,0,9.16,Low Risk
78.13,91.41,7.29,100.0,28.2,0,9.13,Low Risk
85.4,88.65,6.05,91.36,29.39,1,8.89,Medium Risk
83.69,70.42,7.57,100.0,26.55,0,8.85,Low Risk
90.27,91.23,7.12,86.62,30.0,0,8.22,Low Risk
89.43,79.08,7.58,100.0,23.43,0,9.01,Low Risk
68.39,75.12,1.79,59.88,19.31,1,6.92,Medium Risk
67.69,61.7,3.09,79.51,21.9,1,5.65,Medium Risk
42.05,59.51,3.4,49.72,12.18,1,5.47,High Risk
85.72,86.84,4.47,83.51,30.0,1,8.77,Medium Risk
82.41,99.21,6.18,93.68,27.77,0,8.65,Low Risk
51.59,69.37,4.36,52.55,21.67,0,5.91,Medium Risk
53.0,58.88,3.7,37.01,13.09,1,5.25,High Risk
66.0,78.46,6.6,71.95,14.75,2,7.26,High Risk
51.17,69.86,7.13,69.45,16.75,1,7.38,Medium Risk
93.16,82.51,7.81,100.0,27.63,0,7.4,Low Risk
43.58,55.13,1.27,46.77,11.51,2,4.59,High Risk
93.35,87.72,6.21,71.28,24.67,0,7.78,Low Risk
53.88,73.48,4.02,75.55,15.66,1,6.33,Medium Risk
71.98,57.96,7.84,74.32,18.16,1,7.06,Medium Risk
61.05,77.97,4.63,78.66,22.5,1,7.16,Medium Risk
66.02,75.49,5.15,65.51,13.38,1,5.94,Medium Risk
60.89,72.89,5.63,62.91,16.38,0,7.24,Medium Risk
81.64,95.83,9.68,100.0,25.76,0,7.94,Low Risk
66.33,59.52,2.71,50.69,14.43,4,5.66,High Risk
50.6,38.35,4.19,44.85,13.57,5,5.38,High Risk
55.43,59.83,2.03,45.47,15.68,3,5.67,High Risk
77.6,92.08,4.64,88.46,29.0,0,8.92,Low Risk
79.02,84.75,6.97,100.0,30.0,0,9.03,Low Risk
94.48,93.46,9.59,86.94,25.37,0,8.32,Low Risk
74.41,63.43,3.32,60.23,19.09,1,6.58,High Risk
70.64,81.44,10.15,80.83,23.55,0,8.11,Low Risk
72.52,77.89,4.48,61.41,20.92,0,7.11,Medium Risk
46.02,55.78,1.36,42.43,14.6,3,5.6,High Risk
56.44,53.5,0.97,49.57,11.25,4,6.29,High Risk
72.53,89.39,8.37,78.28,23.6,0,8.29,Low Risk
49.9,41.43,1.62,35.01,7.96,5,4.74,High Risk
90.73,86.97,7.81,80.37,24.4,0,8.17,Low Risk
53.5,45.63,3.57,36.97,14.31,1,6.28,High Risk
70.93,83.89,6.86,96.52,23.33,0,7.32,Low Risk
88.4,81.03,10.2,80.29,20.44,0,8.25,Low Risk
83.27,97.97,6.17,100.0,25.14,0,8.0,Low Risk
63.13,65.22,6.41,62.14,23.63,0,7.23,Medium Risk
52.66,60.96,1.46,51.22,8.52,1,4.58,High Risk
79.92,100.0,8.59,100.0,19.06,0,7.7,Low Risk
69.74,70.71,4.35,66.49,20.55,0,6.76,Medium Risk
75.7,91.77,7.21,84.12,21.85,0,9.41,Low Risk
56.97,69.9,4.39,66.7,19.53,0,5.99,Medium Risk
70.86,74.16,3.43,68.72,12.84,1,6.23,High Risk
80.53,72.25,4.34,71.46,16.11,0,7.63,Medium Risk
69.38,85.17,5.1,71.18,21.91,2,7.67,High Risk
100.0,91.15,5.98,88.75,27.25,0,7.79,Low Risk
54.71,68.71,3.44,71.88,19.17,0,7.84,Medium Risk
76.67,91.55,9.2,79.46,24.3,0,8.57,Low Risk
60.22,83.44,3.93,81.33,24.42,0,6.9,Low Risk
40.71,56.31,2.39,39.39,12.17,3,5.3,High Risk
46.69,50.46,2.6,53.54,11.61,4,4.63,High Risk
64.5,72.52,2.27,60.99,21.22,0,6.78,Medium Risk
50.09,46.25,3.98,50.16,13.17,4,5.62,High Risk
70.12,78.37,4.73,64.05,18.4,1,7.86,Medium Risk
91.85,89.35,6.39,72.55,26.77,0,8.36,Low Risk
54.68,84.19,4.29,78.21,20.27,0,5.74,Medium Risk
79.1,84.76,9.08,82.87,23.72,0,7.48,Low Risk
79.07,79.86,6.94,58.46,17.88,1,6.79,Medium Risk
58.07,61.68,2.08,37.0,15.71,0,5.15,High Risk
83.38,71.13,7.52,96.84,25.87,0,8.97,Low Risk
86.83,83.99,7.68,83.21,23.32,0,8.74,Low Risk
46.54,55.43,4.52,53.35,11.11,2,4.25,High Risk
78.5,82.22,5.47,91.32,20.95,0,8.21,Low Risk
60.05,56.53,2.21,38.99,16.7,3,4.02,High Risk
51.39,70.31,4.76,72.38,19.19,0,6.43,Medium Risk
48.12,58.34,2.29,42.81,13.35,4,5.31,High Risk
91.46,87.22,8.81,75.22,23.3,0,9.15,Low Risk
62.31,75.67,4.6,56.41,16.94,0,6.78,Medium Risk
48.58,58.69,3.59,42.09,15.22,0,4.72,High Risk
66.42,77.02,3.85,67.48,17.53,1,6.03,Medium Risk
63.65,63.11,5.1,59.13,21.43,0,6.57,Medium Risk
77.86,100.0,6.59,87.97,22.36,0,8.24,Low Risk
88.3,94.39,8.14,89.48,22.16,0,8.25,Low Risk
74.59,96.2,8.23,100.0,27.44,0,8.1,Low Risk
74.84,72.13,4.99,74.01,13.83,1,5.39,Medium Risk
51.63,74.94,7.34,70.22,13.11,0,6.77,Medium Risk
78.49,76.51,3.16,76.97,21.13,0,6.99,Medium Risk
72.31,64.28,5.94,48.95,17.15,0,7.96,Medium Risk
76.0,84.98,5.09,89.36,21.31,1,6.06,Medium Risk
88.17,90.0,8.47,97.0,26.27,0,8.47,Low Risk
54.37,57.42,0.86,51.41,14.74,0,5.43,High Risk
75.0,71.73,2.62,79.68,22.14,0,7.98,Medium Risk
94.81,82.55,8.83,91.44,26.73,0,7.6,Low Risk
78.61,75.07,4.15,69.98,23.7,0,6.04,Medium Risk
48.51,70.61,4.85,81.47,21.77,1,7.59,Medium Risk
49.49,60.4,3.94,47.01,8.55,3,5.37,High Risk
66.44,80.14,2.19,61.37,15.45,0,7.02,Medium Risk
48.72,64.29,3.66,63.0,22.48,0,6.44,Medium Risk
75.23,68.46,3.31,85.43,22.42,1,6.65,Medium Risk
79.03,82.53,8.79,92.17,21.83,0,8.1,Low Risk
73.66,80.95,2.59,63.94,21.87,0,6.79,Medium Risk
45.35,52.27,2.42,29.61,16.11,2,4.97,High Risk
76.21,73.82,8.0,65.26,18.34,2,6.79,High Risk
79.62,93.71,6.49,78.26,24.49,0,8.26,Low Risk
73.53,80.24,10.4,90.56,28.81,0,8.44,Low Risk
43.1,54.27,2.18,41.02,15.94,6,5.36,High Risk
67.31,74.04,3.94,75.72,15.92,2,6.35,High Risk
60.88,73.86,5.08,62.51,16.98,2,6.9,High Risk
63.0,80.05,3.72,79.95,18.06,0,6.63,Medium Risk
83.41,82.38,7.39,100.0,21.84,0,7.55,Low Risk
77.3,61.29,6.32,47.61,17.63,2,6.19,High Risk
69.57,85.47,6.97,91.16,26.69,0,7.84,Low Risk
43.65,54.48,3.24,28.23,11.4,2,5.29,High Risk
85.23,92.77,10.07,90.33,24.14,0,9.35,Low Risk
70.59,76.4,2.81,64.84,22.35,0,7.14,Medium Risk
86.54,91.58,7.45,91.45,23.79,0,8.28,Low Risk
76.64,80.59,6.76,88.54,26.87,0,7.87,Low Risk
43.54,41.25,1.38,57.48,10.81,3,5.63,High Risk
46.06,57.19,1.12,56.7,6.09,2,4.92,High Risk
82.23,80.28,7.08,94.77,28.45,0,9.73,Low Risk
66.5,68.57,3.79,66.34,18.66,0,7.67,Medium Risk
62.75,72.3,3.41,70.62,22.19,0,6.95,Medium Risk
71.24,96.66,6.6,92.05,26.14,0,8.43,Low Risk
78.77,95.18,7.54,91.57,21.25,0,9.67,Low Risk
43.5,61.59,1.77,34.5,16.62,4,5.4,High Risk
47.59,47.16,0.84,37.03,13.32,2,4.57,High Risk
46.73,52.22,3.52,43.38,20.03,5,5.0,High Risk
90.32,86.04,8.01,97.14,28.9,0,8.33,Low Risk
93.23,73.26,9.58,89.28,18.19,0,9.09,Low Risk
66.46,69.98,2.71,70.95,19.45,1,6.85,Medium Risk
62.23,84.59,3.78,75.78,24.65,2,6.17,High Risk
58.3,54.86,1.81,34.54,12.52,4,5.05,High Risk
61.8,83.62,1.45,77.33,16.22,0,6.54,Medium Risk
73.24,68.78,3.63,66.36,22.4,1,6.46,Medium Risk
77.31,82.21,4.51,61.2,24.22,1,6.73,Medium Risk
62.06,67.43,5.35,63.23,19.46,0,7.53,Medium Risk
77.02,75.69,8.69,89.3,23.59,0,7.49,Low Risk
72.76,76.48,4.55,57.67,16.06,0,7.87,Medium Risk
48.62,59.86,2.76,46.65,10.66,2,5.52,High Risk
83.14,96.28,9.0,100.0,28.26,0,9.3,Low Risk
100.0,79.33,9.89,98.11,23.56,0,8.44,Low Risk
79.24,88.8,8.38,89.13,25.04,0,8.43,Low Risk
76.33,69.68,5.36,68.58,19.92,1,6.2,Medium Risk
62.73,79.86,3.45,67.49,18.99,0,6.16,Medium Risk
82.39,80.04,7.49,97.39,28.01,0,8.89,Low Risk
74.41,81.39,3.04,81.62,23.19,1,7.33,Medium Risk
52.17,41.11,1.08,42.4,13.02,3,5.32,High Risk
85.88,72.52,8.66,78.69,29.43,0,9.0,Low Risk
39.96,52.35,2.49,49.99,9.01,0,4.98,High Risk
79.59,78.72,5.96,88.7,27.33,0,8.75,Low Risk
83.07,89.2,7.05,78.69,23.84,0,8.94,Low Risk
87.62,86.06,5.69,87.5,25.69,0,8.88,Low Risk
68.85,62.51,4.7,77.54,19.5,2,7.22,High Risk
47.17,79.65,3.6,76.83,19.8,0,5.72,Medium Risk
87.58,72.92,6.54,100.0,27.87,0,8.91,Low Risk
78.16,95.49,8.04,80.36,27.72,0,9.49,Low Risk
100.0,91.58,6.69,75.83,30.0,0,8.6,Low Risk
62.11,58.06,4.38,70.79,16.81,0,7.1,Medium Risk
82.92,86.57,9.01,100.0,26.58,0,9.2,Low Risk
61.67,84.51,5.11,70.44,19.63,1,6.04,Medium Risk
38.57,46.42,2.53,47.78,10.95,3,4.68,High Risk
67.8,69.22,5.78,65.81,17.64,2,6.46,High Risk
69.87,61.61,6.22,68.43,23.08,1,6.99,Medium Risk
92.05,90.33,9.42,88.59,26.44,0,7.48,Low Risk
45.34,44.08,1.08,40.84,9.09,1,5.35,High Risk
64.29,56.43,3.13,38.71,12.94,5,5.05,High Risk
44.37,50.5,2.98,44.64,5.22,2,5.41,High Risk
75.27,87.18,8.48,61.5,20.97,4,8.36,High Risk
64.43,81.54,4.57,58.53,17.64,0,8.04,Medium Risk
64.82,74.79,5.12,60.89,17.39,0,5.85,Medium Risk
49.66,53.55,3.48,58.42,12.1,2,5.89,High Risk
71.68,86.67,10.48,96.94,30.0,0,8.63,Low Risk
93.27,73.65,7.0,95.83,29.59,0,8.93,Low Risk
90.86,85.81,8.33,89.68,29.25,0,8.37,Low Risk
52.75,71.46,5.38,71.44,15.34,0,6.28,Medium Risk
52.03,76.73,2.19,58.34,18.47,1,7.0,Medium Risk
38.22,33.64,0.63,37.62,14.01,3,5.99,High Risk
82.52,90.9,7.31,92.39,25.56,0,8.88,Low Risk
69.3,72.98,4.39,76.95,17.7,2,6.35,High Risk
77.23,86.71,7.48,91.44,26.72,0,8.41,Low Risk
84.57,82.01,6.78,96.31,27.0,0,9.0,Low Risk
39.56,48.28,0.92,67.37,13.41,0,5.24,High Risk
38.37,58.73,4.17,39.94,14.43,0,5.26,Medium Risk
79.27,86.12,8.48,97.72,24.35,0,9.23,Low Risk
37.35,50.54,3.41,44.79,16.65,4,5.83,High Risk
100.0,88.38,8.11,88.11,30.0,0,8.78,Low Risk
65.83,63.58,1.25,67.81,22.17,2,6.19,High Risk
94.04,80.4,8.92,83.89,22.6,0,9.32,Low Risk
82.19,88.9,9.58,97.74,30.0,0,8.99,Low Risk
93.77,100.0,8.37,89.96,23.12,0,7.89,Low Risk
90.55,87.59,7.7,96.02,25.36,1,7.58,Medium Risk
67.32,74.66,5.31,69.64,22.11,0,6.57,Medium Risk
59.93,81.02,5.89,67.9,19.61,0,6.24,Medium Risk
66.21,83.85,3.76,64.44,21.7,1,6.81,Medium Risk
93.65,88.97,8.08,89.44,27.2,0,8.78,Low Risk
68.01,72.59,7.55,97.52,27.13,0,8.34,Low Risk
77.84,100.0,5.65,93.73,29.43,0,9.06,Low Risk
56.63,68.48,3.89,66.34,24.55,0,6.34,Medium Risk
95.24,97.69,9.59,84.07,26.23,0,8.02,Low Risk
71.86,90.31,8.63,88.25,22.61,0,8.16,Low Risk
67.36,67.96,4.48,70.41,18.49,2,7.51,High Risk
85.92,82.92,3.87,100.0,25.19,0,8.88,Low Risk
62.16,84.17,3.04,58.17,19.79,2,7.53,High Risk
80.25,79.24,5.77,82.14,26.9,1,8.01,Medium Risk
58.26,56.48,2.3,77.44,19.96,0,6.51,Medium Risk
59.13,70.4,3.22,64.01,22.2,0,7.28,Medium Risk
88.37,89.37,4.24,91.93,26.47,0,8.13,Low Risk
95.5,94.1,7.51,100.0,28.96,0,8.51,Low Risk
58.87,65.71,3.51,49.72,20.01,1,7.27,High Risk
87.11,89.32,7.5,89.38,24.22,0,8.39,Low Risk
61.27,79.01,4.07,96.81,18.67,1,6.7,Medium Risk
74.43,90.76,8.17,100.0,24.17,0,9.5,Low Risk
74.26,88.65,7.49,87.7,22.63,0,8.24,Low Risk
74.31,94.25,8.6,92.13,23.14,0,7.32,Low Risk
80.1,97.83,8.3,100.0,25.56,0,7.91,Low Risk
53.0,61.18,4.19,63.06,17.4,2,6.73,High Risk
100.0,87.05,10.25,85.24,19.87,1,8.47,Medium Risk
62.62,69.71,4.88,83.27,20.23,0,7.56,Low Risk
48.64,59.06,3.33,79.5,21.36,2,6.8,High Risk
98.55,97.24,7.56,89.86,26.81,0,8.62,Low Risk
89.45,85.19,5.77,98.79,26.6,0,9.52,Low Risk
84.3,91.05,7.68,97.52,22.93,0,9.54,Low Risk
62.79,80.49,2.75,93.19,19.52,2,6.92,High Risk
90.65,82.75,5.97,77.46,19.89,0,9.78,Low Risk
92.41,72.39,6.23,77.78,26.05,0,8.09,Low Risk
90.17,79.62,8.5,85.71,25.97,0,9.22,Low Risk
75.6,93.05,8.64,100.0,28.09,0,8.06,Low Risk
89.19,96.64,5.41,84.45,27.56,0,8.34,Low Risk
74.26,90.91,9.55,86.55,28.73,0,9.47,Low Risk
62.46,89.54,4.41,77.62,17.29,0,7.0,Low Risk
66.94,90.89,2.92,77.78,21.31,1,6.26,Medium Risk
66.54,73.43,6.71,55.92,17.2,1,5.87,Medium Risk
65.45,70.3,4.01,68.06,22.43,1,6.7,Medium Risk
44.67,58.88,3.39,34.7,13.21,1,5.23,High Risk
95.2,100.0,8.33,78.1,26.4,0,9.16,Low Risk
63.25,56.44,2.16,44.04,16.47,2,5.57,High Risk
97.42,99.47,6.67,97.12,30.0,0,8.02,Low Risk
54.67,69.36,3.59,70.13,20.69,1,8.22,Medium Risk
52.51,54.21,0.92,50.76,9.98,3,4.01,High Risk
78.54,67.07,4.42,45.67,20.02,0,6.89,Medium Risk
72.51,79.48,4.1,58.71,16.0,2,7.2,High Risk
49.42,46.38,3.27,47.75,12.33,1,4.43,High Risk
77.33,78.07,6.54,92.98,26.23,0,8.2,Low Risk
92.94,91.51,9.67,88.76,22.02,0,8.6,Low Risk
66.5,73.88,4.78,60.75,14.2,1,6.25,Medium Risk
36.94,60.63,0.5,58.57,14.53,2,5.09,High Risk
67.55,71.19,4.63,65.13,16.68,0,7.04,Medium Risk
47.16,59.97,1.6,59.97,14.62,3,5.36,High Risk
72.34,75.21,3.73,64.09,15.77,0,7.39,Medium Risk
97.47,83.55,9.0,100.0,23.96,0,8.57,Low Risk
58.65,74.79,5.51,63.36,13.15,1,7.53,Medium Risk
86.17,92.18,7.96,100.0,27.05,0,8.02,Low Risk
72.13,75.46,6.03,55.09,24.59,1,7.84,Medium Risk
54.77,78.26,3.77,64.45,15.67,2,6.96,High Risk
70.02,73.97,4.29,80.36,20.37,1,6.65,Medium Risk
85.39,88.36,7.87,89.99,30.0,0,8.6,Low Risk
70.05,100.0,8.37,91.41,27.35,0,8.75,Low Risk
39.97,52.74,1.33,45.54,15.48,4,4.23,High Risk
73.47,73.02,4.64,73.18,16.86,0,7.09,Medium Risk
89.93,80.98,6.73,89.94,23.02,0,8.52,Low Risk
91.46,100.0,7.15,100.0,22.68,0,7.93,Low Risk
75.27,96.4,8.69,90.36,26.41,0,9.15,Low Risk
78.1,83.85,6.45,93.01,27.34,0,8.41,Low Risk
79.39,87.29,3.15,98.28,25.24,0,8.68,Low Risk
49.29,73.99,4.89,79.44,18.76,1,7.66,Medium Risk
86.65,77.11,8.75,74.06,27.12,0,8.64,Low Risk
63.7,81.07,5.99,65.68,19.81,0,5.9,Medium Risk
73.13,84.33,5.88,73.8,25.7,0,8.42,Low Risk
73.83,89.54,6.93,100.0,26.11,0,8.75,Low Risk
85.83,68.17,5.5,73.07,20.18,0,7.5,Medium Risk
67.97,67.37,5.82,68.0,19.2,2,7.15,High Risk
51.25,73.59,5.77,70.42,17.44,0,6.18,Medium Risk
35.0,46.2,3.72,53.38,13.84,2,4.0,High Risk
55.08,80.48,5.11,79.91,21.15,0,6.69,Low Risk
73.42,80.26,4.35,67.96,20.2,0,5.67,Medium Risk
98.4,89.29,9.36,93.89,24.53,0,6.69,Low Risk
77.12,71.0,4.82,72.1,15.59,0,6.15,Medium Risk
88.2,81.98,5.79,96.71,25.02,0,9.44,Low Risk
79.01,76.68,3.33,73.72,15.42,1,6.18,Medium Risk
52.76,84.83,4.02,61.82,20.81,1,6.97,Medium Risk
83.66,84.8,7.59,99.64,19.26,1,9.24,Medium Risk
87.11,83.92,8.74,92.77,24.24,0,9.07,Low Risk
64.89,69.62,3.57,51.72,19.04,0,6.77,Medium Risk
100.0,91.86,8.58,87.78,27.58,0,7.52,Low Risk
94.59,90.4,5.8,77.25,27.39,0,9.22,Low Risk
42.81,57.09,0.5,43.01,8.93,1,4.77,High Risk
88.63,86.03,9.62,86.35,26.3,0,8.16,Low Risk
73.66,97.67,8.53,87.47,26.79,0,9.55,Low Risk
41.11,49.87,2.15,42.96,14.95,3,6.0,High Risk
92.26,93.12,9.85,81.43,23.63,1,9.06,Medium Risk
84.25,93.23,8.54,100.0,28.07,0,8.13,Low Risk
35.0,42.31,1.87,62.2,15.0,0,6.13,Medium Risk
90.7,89.86,6.28,100.0,25.58,0,8.68,Low Risk
79.09,63.55,4.01,52.51,16.88,0,6.98,Medium Risk
82.62,87.82,6.47,100.0,24.51,0,8.33,Low Risk
55.68,64.01,2.74,42.62,13.85,4,4.64,High Risk
66.8,79.52,5.11,82.7,18.07,1,6.32,Medium Risk
49.94,55.62,2.25,38.7,11.16,0,5.76,High Risk
66.31,75.03,3.09,65.45,15.6,1,6.73,Medium Risk
67.1,80.85,3.02,65.76,22.36,1,6.47,Medium Risk
61.85,64.0,2.11,69.41,20.34,1,7.48,Medium Risk
54.33,58.68,4.27,31.43,11.74,2,4.99,High Risk
84.36,89.06,9.39,100.0,29.41,0,8.18,Low Risk
37.43,57.9,1.78,41.5,13.31,0,5.55,High Risk
89.0,89.6,5.85,93.62,23.81,0,8.92,Low Risk
72.17,77.5,10.01,85.36,23.5,0,8.9,Low Risk
83.71,98.77,9.85,68.42,28.47,0,8.72,Low Risk
42.83,59.51,3.27,45.17,11.44,2,4.83,High Risk
70.62,74.15,2.85,66.75,22.82,1,7.87,Medium Risk
80.28,91.48,7.34,100.0,21.49,0,7.76,Low Risk
76.22,97.3,8.11,90.45,27.92,0,8.2,Low Risk
63.41,65.9,4.4,78.36,19.67,2,6.92,High Risk
77.86,91.15,7.82,84.62,25.93,0,8.85,Low Risk
85.1,87.92,11.88,90.34,22.61,0,7.98,Low Risk
86.35,79.32,7.4,81.77,23.32,0,8.15,Low Risk
62.39,69.58,3.69,51.36,21.98,0,6.71,Medium Risk
84.3,95.57,9.14,91.37,18.43,0,7.56,Low Risk
85.53,96.95,7.57,79.76,28.24,0,8.52,Low Risk
63.54,65.37,4.62,67.54,20.76,1,7.33,Medium Risk
82.77,93.0,6.19,91.82,24.54,0,8.78,Low Risk
53.12,69.18,1.13,81.35,20.85,0,7.41,Medium Risk
80.87,100.0,7.78,86.83,24.15,0,7.57,Low Risk
72.75,71.94,1.65,71.84,16.63,0,7.07,Medium Risk
62.01,55.64,4.72,45.49,15.58,1,4.93,High Risk
69.98,88.57,6.21,98.05,26.5,0,8.89,Low Risk
49.42,79.89,5.67,62.71,21.57,1,7.38,Medium Risk
74.54,89.75,7.12,100.0,28.39,0,7.9,Low Risk
80.37,80.26,6.27,84.65,19.72,0,7.63,Low Risk
54.52,60.97,1.54,45.45,14.22,2,5.61,High Risk
75.77,75.29,3.01,71.48,18.32,0,7.0,Medium Risk
91.33,74.01,8.02,100.0,17.31,0,8.55,Low Risk
53.89,78.04,3.86,68.6,18.8,1,6.79,Medium Risk
71.98,77.75,4.69,77.42,18.51,1,6.14,Medium Risk
70.75,90.37,6.73,100.0,23.97,0,7.96,Low Risk
98.87,91.12,8.97,100.0,18.52,0,9.12,Low Risk
83.99,88.84,7.16,100.0,23.28,0,7.39,Low Risk
55.62,77.26,3.73,75.8,16.04,1,7.47,Medium Risk
52.1,46.59,0.5,25.52,8.17,1,5.19,High Risk
92.14,79.47,8.66,97.84,28.43,0,7.95,Low Risk
88.0,94.39,10.93,82.6,25.37,0,7.58,Low Risk
49.25,42.44,1.77,44.04,15.61,1,6.48,High Risk
79.19,93.84,9.25,77.0,21.52,0,8.8,Low Risk
87.15,90.58,4.61,89.49,28.54,0,8.79,Low Risk
83.74,84.17,6.68,85.58,26.32,0,8.16,Low Risk
64.91,73.8,5.75,79.85,16.58,0,7.96,Low Risk
74.4,74.75,4.08,62.97,25.63,1,7.01,Medium Risk
87.06,100.0,8.15,100.0,26.72,0,8.31,Low Risk
86.34,83.33,7.22,71.86,19.64,0,7.94,Low Risk
44.5,46.02,0.5,46.12,11.13,3,6.16,High Risk
71.51,94.14,9.76,89.03,25.36,0,7.21,Low Risk
